time,goaly,y
1504917080.39,0,0.0
1504917080.4,0,0.0
1504917080.41,-0.144745198233,0.0
1504917080.42,-0.144745198233,0.0
1504917080.43,-0.144745198233,0.0
1504917080.44,-0.144745198233,0.0
1504917080.45,-0.144745198233,0.0
1504917080.46,-0.144745198233,0.0
1504917080.48,-0.144745198233,0.0
1504917080.48,-0.144745198233,0.0
1504917080.49,-0.144745198233,0.0
1504917080.5,-0.144745198233,0.0
1504917080.51,-0.144745198233,0.0
1504917080.52,-0.144745198233,0.0
1504917080.53,-0.144745198233,0.0
1504917080.54,-0.144745198233,0.0
1504917080.55,-0.144745198233,0.0
1504917080.56,-0.144745198233,0.0
1504917080.57,-0.144745198233,0.0
1504917080.58,-0.144745198233,0.0
1504917080.59,-0.144745198233,0.0
1504917080.6,-0.144745198233,0.0
1504917080.62,-0.144745198233,-0.142517209053
1504917080.62,-0.144745198233,-0.142516419291
1504917080.63,-0.144745198233,-0.142277091742
1504917080.64,-0.144745198233,-0.142227783799
1504917080.65,-0.144745198233,-0.142122060061
1504917080.66,-0.144745198233,-0.14202336967
1504917080.67,-0.144745198233,-0.141890764236
1504917080.68,-0.144745198233,-0.141777738929
1504917080.69,-0.144745198233,-0.141675204039
1504917080.7,-0.144745198233,-0.14158500731
1504917080.71,-0.144745198233,-0.141508623958
1504917080.72,-0.144745198233,-0.141444966197
1504917080.73,-0.144745198233,-0.141414865851
1504917080.75,-0.144745198233,-0.141394510865
1504917080.75,-0.144745198233,-0.141342774034
1504917080.76,-0.144745198233,-0.141272693872
1504917080.77,-0.144745198233,-0.141443356872
1504917080.78,-0.144745198233,-0.141469180584
1504917080.79,-0.144745198233,-0.141475826502
1504917080.8,-0.144745198233,-0.141465559602
1504917080.81,-0.144745198233,-0.141481816769
1504917080.82,-0.144745198233,-0.141495779157
1504917080.83,-0.144745198233,-0.141515374184
1504917080.84,-0.144745198233,-0.141539305449
1504917080.85,-0.144745198233,-0.141560688615
1504917080.86,-0.144745198233,-0.141569361091
1504917080.87,-0.144745198233,-0.141560316086
1504917080.89,-0.144745198233,-0.141540572047
1504917080.89,-0.144745198233,-0.141635224223
1504917080.9,-0.144745198233,-0.141692847013
1504917080.91,-0.144745198233,-0.14172501862
1504917080.92,-0.144745198233,-0.141743704677
1504917080.93,-0.144745198233,-0.14190556109
1504917080.94,-0.144745198233,-0.141969114542
1504917080.95,-0.144745198233,-0.141991838813
1504917080.97,-0.144745198233,-0.142115443945
1504917080.98,-0.144745198233,-0.142182514071
1504917080.99,-0.144745198233,-0.142210826278
1504917081.0,-0.144745198233,-0.142225727439
1504917081.02,-0.144745198233,-0.142379060388
1504917081.02,-0.144745198233,-0.142386287451
1504917081.03,-0.144745198233,-0.142487719655
1504917081.04,-0.144745198233,-0.142513647676
1504917081.05,-0.144745198233,-0.142508670688
1504917081.06,-0.144745198233,-0.142489373684
1504917081.07,-0.144745198233,-0.142467141151
1504917081.08,-0.144745198233,-0.1423946172
1504917081.09,-0.144745198233,-0.142350450158
1504917081.1,-0.144745198233,-0.142335951328
1504917081.11,-0.144745198233,-0.142343759537
1504917081.12,-0.144745198233,-0.14236100018
1504917081.13,-0.144745198233,-0.142174586654
1504917081.14,-0.144745198233,-0.142051115632
1504917081.15,-0.144745198233,-0.141946956515
1504917081.16,-0.144745198233,-0.141948118806
1504917081.17,-0.144745198233,-0.141955286264
1504917081.18,-0.144745198233,-0.141902059317
1504917081.19,-0.144745198233,-0.141893059015
1504917081.2,-0.144745198233,-0.141906484962
1504917081.21,-0.144745198233,-0.141916319728
1504917081.22,-0.144745198233,-0.141827002168
1504917081.23,-0.144745198233,-0.14175221324
1504917081.24,-0.144745198233,-0.141701161861
1504917081.25,-0.144745198233,-0.141687452793
1504917081.27,-0.144745198233,-0.141711980104
1504917081.27,-0.144745198233,-0.141759127378
1504917081.28,-0.144745198233,-0.141771867871
1504917081.29,-0.144745198233,-0.14180290699
1504917081.3,-0.144745198233,-0.141801580787
1504917081.31,-0.144745198233,-0.14177724719
1504917081.32,-0.144745198233,-0.141743004322
1504917081.33,-0.144745198233,-0.1417119205
1504917081.34,-0.144745198233,-0.14199270308
1504917081.35,-0.144745198233,-0.142223879695
1504917081.36,-0.144745198233,-0.142320021987
1504917081.37,-0.144745198233,-0.142363458872
1504917081.38,-0.144745198233,-0.142445042729
1504917081.4,-0.144745198233,-0.142465651035
1504917081.4,-0.144745198233,-0.142451182008
1504917081.41,-0.144745198233,-0.142415747046
1504917081.42,-0.144745198233,-0.142401725054
1504917081.43,-0.144745198233,-0.142393067479
1504917081.44,-0.144745198233,-0.142459183931
1504917081.45,-0.144745198233,-0.142489135265
1504917081.46,-0.144745198233,-0.142497211695
1504917081.47,-0.144745198233,-0.142494529486
1504917081.48,-0.144745198233,-0.142489314079
1504917081.49,-0.144745198233,-0.142248317599
1504917081.5,-0.144745198233,-0.142091438174
1504917081.51,-0.144745198233,-0.141995966434
1504917081.52,-0.144745198233,-0.141941323876
1504917081.53,-0.144745198233,-0.141761258245
1504917081.54,-0.144745198233,-0.14152225852
1504917081.55,-0.144745198233,-0.141417935491
1504917081.56,-0.144745198233,-0.141387164593
1504917081.57,-0.144745198233,-0.14092554152
1504917081.58,-0.144745198233,-0.140656620264
1504917081.59,-0.144745198233,-0.140520527959
1504917081.6,-0.144745198233,-0.140473678708
1504917081.61,-0.144745198233,-0.140484198928
1504917081.62,-0.144745198233,-0.140161067247
1504917081.63,-0.144745198233,-0.139978438616
1504917081.64,-0.144745198233,-0.139899656177
1504917081.65,-0.144745198233,-0.139890104532
1504917081.66,-0.144745198233,-0.139781907201
1504917081.67,-0.144745198233,-0.139503836632
1504917081.68,-0.144745198233,-0.13937895
1504917081.69,-0.144745198233,-0.139318957925
1504917081.7,-0.144745198233,-0.139321655035
1504917081.71,-0.144745198233,-0.139328613877
1504917081.72,-0.144745198233,-0.138951346278
1504917081.73,-0.144745198233,-0.138702183962
1504917081.74,-0.144745198233,-0.138588562608
1504917081.75,-0.144745198233,-0.138531669974
1504917081.76,-0.144745198233,-0.138245463371
1504917081.77,-0.144745198233,-0.138081803918
1504917081.78,-0.144745198233,-0.138023659587
1504917081.79,-0.144745198233,-0.137885406613
1504917081.8,-0.144745198233,-0.137970939279
1504917081.81,-0.144745198233,-0.137986958027
1504917081.82,-0.144745198233,-0.138004019856
1504917081.83,-0.144745198233,-0.137774512172
1504917081.84,-0.144745198233,-0.13766105473
1504917081.85,-0.144745198233,-0.137702643871
1504917081.86,-0.144745198233,-0.137485787272
1504917081.87,-0.144745198233,-0.137381255627
1504917081.88,-0.144745198233,-0.137261718512
1504917081.89,-0.144745198233,-0.136868670583
1504917081.9,-0.144745198233,-0.136614397168
1504917081.91,-0.144745198233,-0.136460065842
1504917081.92,-0.144745198233,-0.13631798327
1504917081.93,-0.144745198233,-0.136092528701
1504917081.94,-0.144745198233,-0.136028528214
1504917081.94,-0.144745198233,-0.135936334729
1504917081.96,-0.144745198233,-0.13585563004
1504917081.97,-0.144745198233,-0.135636746883
1504917081.98,-0.144745198233,-0.135453999043
1504917081.98,-0.144745198233,-0.135015815496
1504917082.0,-0.144745198233,-0.134952411056
1504917082.0,-0.144745198233,-0.134592756629
1504917082.02,-0.144745198233,-0.134293749928
1504917082.02,-0.144745198233,-0.133919924498
1504917082.04,-0.144745198233,-0.13372592628
1504917082.06,-0.144745198233,-0.133596554399
1504917082.06,-0.144745198233,-0.133741050959
1504917082.08,-0.144745198233,-0.133436635137
1504917082.08,-0.144745198233,-0.13341473043
1504917082.1,-0.144745198233,-0.133395493031
1504917082.1,-0.144745198233,-0.133306324482
1504917082.11,-0.144745198233,-0.133471027017
1504917082.12,-0.144745198233,-0.133424118161
1504917082.13,-0.144745198233,-0.133654728532
1504917082.14,-0.144745198233,-0.134045273066
1504917082.16,-0.144745198233,-0.134060010314
1504917082.17,-0.144745198233,-0.133865952492
1504917082.18,-0.144745198233,-0.133968219161
1504917082.19,-0.144745198233,-0.133714854717
1504917082.2,-0.144745198233,-0.133648350835
1504917082.2,-0.144745198233,-0.133436962962
1504917082.21,-0.144745198233,-0.133232057095
1504917082.22,-0.144745198233,-0.132768958807
1504917082.23,-0.144745198233,-0.132725074887
1504917082.24,-0.144745198233,-0.132650732994
1504917082.26,-0.144745198233,-0.132472395897
1504917082.26,-0.144745198233,-0.132343947887
1504917082.27,-0.144745198233,-0.132341235876
1504917082.28,-0.144745198233,-0.132557049394
