0,0,0,0.5,0.69282,0.4,0,0,0,0,0
0,0,0,0.5,0.69282,0.4,0,0,0,0,0
0.05,0.034641,0.02,0.5,0.69282,0.4,0,0,0,0,0
0.1,0.069282,0.04,0.5,0.69282,0.4,0,0,0,0,0
0.15,0.10392,0.06,0.5,0.69282,0.4,0,0,0,0,0
0.2,0.13856,0.08,0.5,0.69282,0.4,0,0,0,0,0
0.25,0.17321,0.1,0.5,0.69282,0.4,0,0,0,0,0
0.3,0.20785,0.12,0.5,0.69282,0.4,0,0,0,0,0
0.35,0.24242,0.13996,0.5,0.68783,0.39712,0,-0.26604,-0.1536,-0,0
0.4,0.27634,0.15954,0.5,0.66566,0.38432,0,-0.62077,-0.3584,-0,0
0.45,0.3087,0.17823,0.5,0.62576,0.36128,0,-0.97549,-0.5632,-0,0
0.5,0.33862,0.1955,0.5,0.56811,0.328,0,-1.3302,-0.768,-0,0
0.55,0.36521,0.21085,0.5,0.49273,0.28448,0,-1.6849,-0.9728,-0,0
0.6,0.38759,0.22378,0.5,0.39962,0.23072,0,-2.0397,-1.1776,-0,0
0.65,0.40491,0.23378,0.5,0.2932,0.16928,0,-2.0397,-1.1776,-0,0
0.7,0.41717,0.24085,0.5,0.20009,0.11552,0,-1.6849,-0.9728,-0,0
0.75,0.42522,0.2455,0.5,0.12471,0.072,0,-1.3302,-0.768,-0,0
0.8,0.42994,0.24823,0.5,0.067065,0.03872,0,-0.97549,-0.5632,-0,0
0.85,0.43222,0.24954,0.5,0.027159,0.01568,0,-0.62077,-0.3584,-0,0
0.9,0.43295,0.24996,0.5,0.0049883,0.00288,0,-0.26604,-0.1536,-0,0
0.95,0.43301,0.26,0.5,0,0.8,0,0,0,0,0
1,0.43301,0.3,0.5,0,0.8,0,0,0,0,0
1.05,0.43301,0.34,0.5,0,0.8,0,0,0,0,0
1.1,0.43301,0.38,0.5,0,0.8,0,0,0,0,0
1.15,0.43301,0.42,0.5,0,0.8,0,0,0,0,0
1.2,0.43301,0.46,0.5,0,0.8,0,0,0,0,0
1.25,0.43301,0.5,0.5,0,0.8,0,-0,-3.638e-15,-0,0
1.3,0.43301,0.53983,0.5,0,0.78976,0,-0,-0.4096,-0,0
1.35,0.43301,0.57863,0.5,0,0.75904,0,-0,-0.8192,-0,0
1.4,0.43301,0.61539,0.5,0,0.70784,0,-0,-1.2288,-0,0
1.45,0.43301,0.64908,0.5,0,0.63616,0,-0,-1.6384,-0,0
1.5,0.43301,0.67867,0.5,0,0.544,0,-0,-2.048,-0,0
1.55,0.43301,0.70314,0.5,0,0.43136,0,-0,-2.4576,-0,0
1.6,0.43301,0.72161,0.5,0,0.30976,0,-0,-2.2528,-0,0
1.65,0.43301,0.73445,0.5,0,0.20736,0,-0,-1.8432,-0,0
1.7,0.43301,0.74268,0.5,0,0.12544,0,-0,-1.4336,-0,0
1.75,0.43301,0.74733,0.5,0,0.064,0,-0,-1.024,-0,0
1.8,0.43301,0.74942,0.5,0,0.02304,0,-0,-0.6144,-0,0
1.85,0.43301,0.74998,0.5,0,0.00256,0,-0,-0.2048,-0,0
1.9,0.41569,0.76,0.5,-0.69282,0.4,0,-0,0,0,0
1.95,0.38105,0.78,0.5,-0.69282,0.4,0,-0,0,0,0
2,0.34641,0.8,0.5,-0.69282,0.4,0,-0,0,0,0
2.05,0.31177,0.82,0.5,-0.69282,0.4,0,-0,0,0,0
2.1,0.27713,0.84,0.5,-0.69282,0.4,0,-0,0,0,0
2.15,0.24249,0.86,0.5,-0.69282,0.4,0,-0,0,0,0
2.2,0.20785,0.88,0.5,-0.69227,0.39968,0,0.088681,-0.0512,-0,0
2.25,0.17349,0.89983,0.5,-0.67896,0.392,0,0.44341,-0.256,-0,0
2.3,0.14025,0.91903,0.5,-0.64793,0.37408,0,0.79813,-0.4608,-0,0
2.35,0.109,0.93707,0.5,-0.59915,0.34592,0,1.1529,-0.6656,-0,0
2.4,0.080628,0.95345,0.5,-0.53264,0.30752,0,1.5076,-0.8704,-0,0
2.45,0.056028,0.96765,0.5,-0.44839,0.25888,0,1.8623,-1.0752,-0,0
2.5,0.036084,0.97917,0.5,-0.34641,0.2,0,2.217,-1.28,-0,0
2.55,0.021387,0.98765,0.5,-0.24443,0.14112,0,1.8623,-1.0752,-0,0
2.6,0.011346,0.99345,0.5,-0.16018,0.09248,0,1.5076,-0.8704,-0,0
2.65,0.0050738,0.99707,0.5,-0.093669,0.05408,0,1.1529,-0.6656,-0,0
2.7,0.0016836,0.99903,0.5,-0.044895,0.02592,0,0.79813,-0.4608,-0,0
2.75,0.00028868,0.99983,0.5,-0.013856,0.008,0,0.44341,-0.256,-0,0
2.8,2.3094e-06,1,0.5,-0.00055426,0.00032,0,0.088681,-0.0512,-0,0
2.85,-0.025981,0.985,0.5,-0.69282,-0.4,0,-0,-0,0,0
2.9,-0.060622,0.965,0.5,-0.69282,-0.4,0,-0,-0,0,0
2.95,-0.095263,0.945,0.5,-0.69282,-0.4,0,-0,-0,0,0
3,-0.1299,0.925,0.5,-0.69282,-0.4,0,-0,-0,0,0
3.05,-0.16454,0.905,0.5,-0.69282,-0.4,0,-0,-0,0,0
3.1,-0.19919,0.885,0.5,-0.69282,-0.4,0,-0,-0,0,0
3.15,-0.23381,0.86501,0.5,-0.6906,-0.39872,0,0.17736,0.1024,-0,0
3.2,-0.26797,0.84529,0.5,-0.67287,-0.38848,0,0.53209,0.3072,-0,0
3.25,-0.3008,0.82633,0.5,-0.63739,-0.368,0,0.88681,0.512,-0,0
